Entity,Year,Average annual working hours per worker,Average years of schooling,Gini coefficient,990179-annotations,"GDP per capita, PPP (constant 2021 international $)",Gender Development Index,Human Development Index,Life expectancy - Sex: total - Age: 0 - Type: period,"Crude marriage rate (marriages per 1,000 people)",Urban population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Cyprus,2013,1804.8607,11.87838,0.37041834,,37558.96,0.97,0.863,81.3165,6.4,67.137,16.131
Cyprus,2014,1792.988,11.88368,0.35565287,,37300.188,0.982,0.867,81.3373,6.3,67.031,16.277
Cyprus,2015,1789.7061,11.86548,0.33966377,,38795.71,0.978,0.874,81.4637,7.2,66.946,15.026
Cyprus,2016,1783.5206,12.08658,0.32891682,,41156.77,0.977,0.881,81.5341,7.5,66.881,13.006
Cyprus,2017,1783.5206,12.18473,0.31416234,,43120.656,0.981,0.891,81.5431,6.8,66.836,11.155
Czechia,2010,1799.5005,12.38508,0.26623514,,40896.73,0.979,0.872,77.5677,4.5,73.255,7.281
Czechia,2011,1805.6233,12.46833,0.26381272,,41535.613,0.98,0.876,77.8144,4.3,73.185,6.712
Czechia,2012,1776.1244,12.51996,0.26109937,,41157.88,0.981,0.878,77.9977,4.3,73.197,6.979
Czechia,2013,1763.0048,12.59654,0.26473904,,41127.027,0.986,0.884,78.169,4.1,73.29,6.953
Czechia,2014,1776.7375,12.63814,0.25923222,,42006.17,0.986,0.889,78.7439,4.3,73.384,6.108
Czechia,2015,1756.161,12.67334,0.25867426,,44002.566,0.988,0.891,78.5609,4.6,73.477,5.048
Czechia,2016,1778.3971,12.73709,0.25406334,,45051.61,0.988,0.894,78.9744,4.8,73.57,3.952
Czechia,2017,1776.162,12.78682,0.2485221,,47256.684,0.988,0.896,78.926,5.0,73.675,2.893
Denmark,2010,1422.235,12.42589,0.2719856,,60233.363,0.99,0.913,79.2473,5.6,86.795,7.747
Denmark,2011,1436.7894,12.46645,0.27311745,,60772.168,0.981,0.927,79.786,4.9,86.957,7.769
Denmark,2012,1423.2501,12.70141,0.2779075,,60540.64,0.979,0.931,80.0822,5.1,87.142,7.798
Denmark,2013,1425.8413,12.74561,0.28542534,,61128.395,0.981,0.933,80.3063,4.9,87.292,7.384
Denmark,2014,1414.1547,12.38759,0.2835288,,61596.496,0.973,0.932,80.6319,5.0,87.41,6.925
Denmark,2015,1412.2715,12.63832,0.28177238,,62450.02,0.979,0.936,80.7394,5.1,87.526,6.278
